name,WEIGHT,HEIGHT,DEPTH,WIDTH,VOLUME,RANK,id
Quilt,6,20,20,20,8000,4940,435522
Locker,26,140,45,30,189000,4960,865
Shop Counter,60,100,80,400,3200000,4970,1002
Subwoofer,21,8,13,13,1352,4980,1064
Wine Cooler,37,73,63,40,183960,4990,1152
Kids Bed,20,50,50,158,395000,5000,26654
1 Cubic Metre,80,100,100,100,1000000,5001,33139
Click & Collect Delivery,10,100,100,100,1000000,5002,4029250
Click & Collect Delivery - NHS,10,100,100,100,1000000,5003,4035735
Click & Collect Delivery - MHA,10,100,100,100,1000000,5004,4035728
Nursing Chair,10,90,50,60,270000,5010,27920
Exhibition Stand,116,200,230,300,13800000,5020,727
Roof Box,35,46,80,210,772800,5030,979
Bouncy Castle,90,50,100,200,1000000,5040,573
Projector,7,14,40,45,25200,5050,959
Go-Kart,40,68,67,115,523940,5060,780
Steamer,10,70,50,50,175000,5070,1299
Log Burner,50,66,30,53,104940,5080,27330
Slate Snooker Table,800,84,120,180,1814400,5090,435528
Aga Cooker,585,85,68,149,861220,5110,508
Draw Set,1,73,54,48,189216,5120,699
Dvd,1,19,1,13,247,5130,712
Umbrella Stand,10,80,30,30,72000,5140,1115
Wendy House,40,120,120,120,1728000,5150,1139
Windsurf Board,30,50,20,110,110000,5160,1150
Hostess Trolley,55,71,40,78,221520,5170,26649
Wood Lathe,500,150,150,150,3375000,5180,28795
Car Tailgate,9,64,130,119,990080,5190,609
Drinks Bar,150,110,60,420,2772000,5200,705
Pottery Kiln,27,51,51,41,106641,5210,952
Sign,10,100,50,30,150000,5220,1010
Tricycle,30,80,36,208,599040,5230,1103
Plastic Playhouse,45,158,140,186,4114320,5250,27939
Cake,3,20,20,15,6000,5260,585
Drawing Board,5,11,71,50,39050,5270,701
Larder Unit,20,180,56,100,1008000,5280,842
Lathe,500,150,150,150,3375000,5290,857
Wrought Iron Gate,100,100,30,150,450000,5300,1160
Chesterfield Chair,50,72,86,107,662544,5310,26135
Display Fridge,80,175,80,150,2100000,5320,26173
Marble Fire Place,60,100,60,100,600000,5330,27455
Golf Buggy,410,240,140,120,4032000,5340,782
Ski,10,5,23,29,3335,5350,1015
Toy,12,100,50,100,500000,5370,28611
Rowing Machine Split In 2,39,250,59,96,1416000,5380,458658
Closet,20,173,48,114,946656,5390,637
Hatstand,5,140,30,30,126000,5410,1330
Grandmother Clock,57,183,26,39,185562,5420,26249
Motor,40,100,80,100,800000,5430,27916
Bird Table,25,170,34,40,231200,5440,435488
Double Ottoman Bed,50,204,148,89,2687088,5450,455690
Carver Chair,5,112,47,66,347424,5470,615
Patio Heater,30,140,50,50,350000,5480,924
Steam Cleaner,5,35,35,28,34300,5490,1052
Stove,62,67,50,70,234500,5500,1061
Towbar,3,20,7,25,3500,5510,1091
Van Door,20,120,30,120,432000,5520,1119
22 Inch Tv,12,36,9,56,18144,5530,26004
Cargo Bike,20,95,30,140,399000,5540,26126
Motorcycle Exhaust,35,57,30,47,80370,5550,27917
